# X2 (y-model)  G=360  L=j/G  depth=30 cap=20000
# j i kill comps lambda maxoutdeg verdict
120 0 -1 1 1.0000 1 CYCLE
120 1 -1 12 1.0000 1 CYCLE
120 2 -1 11 1.0000 1 CYCLE
120 3 -1 10 1.0000 1 CYCLE
120 4 -1 9 1.0000 1 CYCLE
120 5 -1 8 1.0000 1 CYCLE
120 6 -1 8 1.0000 1 CYCLE
120 7 -1 8 1.0000 1 CYCLE
120 8 -1 7 1.0000 1 CYCLE
120 9 -1 7 1.0000 1 CYCLE
120 10 -1 7 1.0000 1 CYCLE
120 11 -1 7 1.0000 1 CYCLE
120 12 -1 6 1.0000 1 CYCLE
120 13 -1 6 1.0000 1 CYCLE
120 14 -1 6 1.0000 1 CYCLE
120 15 -1 6 1.0000 1 CYCLE
120 16 -1 6 1.0000 1 CYCLE
120 17 -1 6 1.0000 1 CYCLE
120 18 -1 11 1.0000 1 CYCLE
120 19 -1 5 1.0000 1 CYCLE
120 20 -1 5 1.0000 1 CYCLE
120 21 -1 5 1.0000 1 CYCLE
120 22 -1 5 1.0000 1 CYCLE
120 23 -1 5 1.0000 1 CYCLE
120 24 -1 5 1.0000 1 CYCLE
120 25 -1 5 1.0000 1 CYCLE
120 26 -1 5 1.0000 1 CYCLE
120 27 -1 5 1.0000 1 CYCLE
120 28 -1 9 1.0000 1 CYCLE
120 29 -1 9 1.0000 1 CYCLE
120 30 -1 4 1.0000 1 CYCLE
120 31 -1 4 1.0000 1 CYCLE
120 32 -1 4 1.0000 1 CYCLE
120 33 -1 4 1.0000 1 CYCLE
120 34 -1 4 1.0000 1 CYCLE
120 35 -1 4 1.0000 1 CYCLE
120 36 -1 4 1.0000 1 CYCLE
120 37 -1 4 1.0000 1 CYCLE
120 38 -1 4 1.0000 1 CYCLE
120 39 -1 4 1.0000 1 CYCLE
120 40 -1 4 1.0000 1 CYCLE
120 41 -1 4 1.0000 1 CYCLE
120 42 -1 4 1.0000 1 CYCLE
120 43 -1 4 1.0000 1 CYCLE
120 44 -1 4 1.0000 1 CYCLE
120 45 -1 11 1.0000 1 CYCLE
120 46 -1 7 1.0000 1 CYCLE
120 47 -1 7 1.0000 1 CYCLE
120 48 -1 7 1.0000 1 CYCLE
120 49 -1 17 1.0000 1 CYCLE
120 50 -1 10 1.0000 1 CYCLE
120 51 -1 3 1.0000 1 CYCLE
120 52 -1 3 1.0000 1 CYCLE
120 53 -1 3 1.0000 1 CYCLE
120 54 -1 3 1.0000 1 CYCLE
120 55 -1 3 1.0000 1 CYCLE
120 56 -1 3 1.0000 1 CYCLE
120 57 -1 3 1.0000 1 CYCLE
120 58 -1 3 1.0000 1 CYCLE
120 59 -1 3 1.0000 1 CYCLE
120 60 -1 3 1.0000 1 CYCLE
120 61 -1 3 1.0000 1 CYCLE
